

 One-dimensional plot values
 Input line #     174
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        6.168997E+13
     22.50000      20.40000      20.40000        1.404152E+13
     22.50000      30.39998      30.39998        5.898887E+12
     22.50000      40.40000      40.40000        2.455552E+12
     22.50000      50.39999      50.39999        1.091246E+12
     22.50000      60.40000      60.40001        4.807625E+11
     22.50000      70.39999      70.39999        3.025783E+11
     22.50000      80.40000      80.39999        1.900616E+11
     22.50000      90.39998      90.39998        1.514979E+11
     22.50000     100.40000     100.40000        1.201501E+11
     22.50000     110.39998     110.39999        1.045939E+11
     22.50000     120.40000     120.40000        9.073625E+10
     22.50000     130.39999     130.39999        8.259106E+10
     22.50000     140.40001     140.40001        7.501709E+10
     22.50000     150.39999     150.39999        7.001929E+10
     22.50000     160.40001     160.40001        6.526568E+10
     22.50000     170.39999     170.39999        6.186673E+10
     22.50000     180.40000     180.39999        5.859125E+10
     22.50000     190.39998     190.39998        5.611349E+10
     22.50000     200.40000     200.39999        5.370631E+10
     22.50000     210.39998     210.39998        5.180966E+10
     22.50000     220.40000     220.40001        4.995729E+10
     22.50000     230.39998     230.39998        4.845281E+10
     22.50000     240.40001     240.40001        4.697785E+10
     22.50000     250.39999     250.39999        4.575168E+10
     22.50000     260.40001     260.39999        4.454637E+10
     22.50000     270.39999     270.39999        4.352585E+10
     22.50000     280.40001     280.40002        4.252049E+10
     22.50000     290.39999     290.39999        4.165655E+10
     22.50000     300.40001     300.40002        4.080407E+10
     22.50000     310.40000     310.39999        4.006253E+10
     22.50000     320.40000     320.39999        3.932998E+10
     22.50000     330.39998     330.39999        3.868610E+10
     22.50000     340.40000     340.39999        3.804933E+10
     22.50000     350.39999     350.39999        3.748474E+10
     22.50000     360.40001     360.39999        3.692584E+10
     22.50000     370.39999     370.39999        3.642667E+10
     22.50000     380.40001     380.40002        3.593204E+10
     22.50000     390.39999     390.39999        3.548735E+10
     22.50000     400.40001     400.40002        3.504640E+10
     22.50000     410.40000     410.39999        3.464765E+10
     22.50000     420.40002     420.40002        3.425209E+10
     22.50000     430.40000     430.39999        3.389243E+10
     22.50000     440.40002     440.40002        3.353552E+10
     22.50000     450.40000     450.39999        3.320949E+10
     22.50000     460.40002     460.40002        3.288576E+10
     22.50000     470.40001     470.39999        3.258872E+10
     22.50000     480.40003     480.40002        3.229372E+10
     22.50000     490.40001     490.39999        3.202199E+10
     22.50000     500.40003     500.40002        3.175206E+10
     22.50000     510.40001     510.40002        3.150253E+10
     22.50000     520.40000     520.40002        3.125447E+10
     22.50000     530.39998     530.39996        3.102444E+10
     22.50000     540.40000     540.40002        3.079570E+10
     22.50000     550.39998     550.39996        3.058295E+10
     22.50000     560.40000     560.40002        3.037140E+10
     22.50000     570.39998     570.39996        3.017403E+10
     22.50000     580.40000     580.40002        2.997775E+10
     22.50000     590.39999     590.39996        2.979419E+10
     22.50000     600.40001     600.40002        2.961156E+10
     22.50000     610.39999     610.39996        2.944039E+10
     22.50000     620.40001     620.40002        2.927009E+10
     22.50000     630.40003     630.40002        2.911016E+10
     22.50000     640.40005     640.40002        2.895091E+10
     22.50000     650.40000     650.40002        2.880121E+10
     22.50000     660.40002     660.40002        2.865214E+10
     22.50000     670.39996     670.39996        2.851174E+10
     22.50000     680.39998     680.39996        2.837190E+10
     22.50000     690.40000     690.40002        2.824013E+10
     22.50000     700.40002     700.40002        2.810885E+10
     22.50000     710.39997     710.39996        2.798499E+10
     22.50000     720.39999     720.39996        2.786156E+10
     22.50000     730.40001     730.40002        2.774507E+10
     22.50000     740.40003     740.40002        2.762907E+10
     22.50000     750.39998     750.39996        2.751953E+10
     22.50000     760.40000     760.40002        2.741037E+10
     22.50000     770.40002     770.40002        2.730733E+10
     22.50000     780.40004     780.40002        2.720469E+10
     22.50000     790.39998     790.39996        2.710790E+10
     22.50000     800.40000     800.40002        2.701140E+10
     22.50000     810.40002     810.40002        2.692057E+10
     22.50000     820.40004     820.40002        2.682998E+10
     22.50000     830.39999     830.39996        2.674486E+10
     22.50000     840.40001     840.40002        2.665990E+10
     22.50000     850.40003     850.40002        2.658028E+10
     22.50000     860.40005     860.40002        2.650085E+10
     22.50000     870.40000     870.40002        2.642652E+10
     22.50000     880.40002     880.40002        2.635240E+10
     22.50000     890.40004     890.40002        2.628334E+10
     22.50000     900.40006     900.40009        2.621440E+10
     22.50000     910.40000     910.40002        2.615047E+10
     22.50000     920.40002     920.40002        2.608664E+10
     22.50000     930.39997     930.39996        2.602776E+10
     22.50000     940.39999     940.39996        2.596895E+10
     22.50000     950.40001     950.40002        2.591501E+10
     22.50000     960.40003     960.40002        2.586117E+10
     22.50000     970.39998     970.39996        2.542221E+10
     22.50000     980.40000     980.40002        2.499076E+10
     22.50000     990.40002     990.40002        1.580822E+14
     22.50000    1000.40004    1000.40002        9.999956E+17
     22.50000    1000.41002    1000.41003        1.000000E+18
     22.50000    1000.42164    1000.42163        1.000000E+18
     22.50000    1000.43163    1000.43164        1.000000E+18
