

 One-dimensional plot values
 Input line #     174
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        6.168997E+13
     22.50000      20.40000      20.40000        1.404152E+13
     22.50000      30.39998      30.39998        5.898887E+12
     22.50000      40.40000      40.40000        2.455552E+12
     22.50000      50.39999      50.39999        1.091242E+12
     22.50000      60.40000      60.40001        4.807582E+11
     22.50000      70.39999      70.39999        3.025737E+11
     22.50000      80.40000      80.39999        1.900579E+11
     22.50000      90.39998      90.39998        1.514942E+11
     22.50000     100.40000     100.40000        1.201467E+11
     22.50000     110.39998     110.39999        1.045907E+11
     22.50000     120.40000     120.40000        9.073326E+10
     22.50000     130.39999     130.39999        8.258834E+10
     22.50000     140.40001     140.40001        7.501446E+10
     22.50000     150.39999     150.39999        7.001698E+10
     22.50000     160.40001     160.40001        6.526339E+10
     22.50000     170.39999     170.39999        6.186456E+10
     22.50000     180.40000     180.39999        5.858919E+10
     22.50000     190.39998     190.39998        5.611152E+10
     22.50000     200.40000     200.39999        5.370442E+10
     22.50000     210.39998     210.39998        5.180796E+10
     22.50000     220.40000     220.40001        4.995553E+10
     22.50000     230.39998     230.39998        4.845111E+10
     22.50000     240.40001     240.40001        4.697620E+10
     22.50000     250.39999     250.39999        4.575018E+10
     22.50000     260.40001     260.39999        4.454480E+10
     22.50000     270.39999     270.39999        4.352432E+10
     22.50000     280.40001     280.40002        4.251899E+10
     22.50000     290.39999     290.39999        4.165508E+10
     22.50000     300.40001     300.40002        4.080272E+10
     22.50000     310.40000     310.39999        4.006121E+10
     22.50000     320.40000     320.39999        3.932868E+10
     22.50000     330.39998     330.39999        3.868482E+10
     22.50000     340.40000     340.39999        3.804808E+10
     22.50000     350.39999     350.39999        3.748350E+10
     22.50000     360.40001     360.39999        3.692462E+10
     22.50000     370.39999     370.39999        3.642547E+10
     22.50000     380.40001     380.40002        3.593086E+10
     22.50000     390.39999     390.39999        3.548619E+10
     22.50000     400.40001     400.40002        3.504532E+10
     22.50000     410.40000     410.39999        3.464659E+10
     22.50000     420.40002     420.40002        3.425103E+10
     22.50000     430.40000     430.39999        3.389139E+10
     22.50000     440.40002     440.40002        3.353449E+10
     22.50000     450.40000     450.39999        3.320847E+10
     22.50000     460.40002     460.40002        3.288474E+10
     22.50000     470.40001     470.39999        3.258771E+10
     22.50000     480.40003     480.40002        3.229273E+10
     22.50000     490.40001     490.39999        3.202101E+10
     22.50000     500.40003     500.40002        3.175102E+10
     22.50000     510.40001     510.40002        3.150149E+10
     22.50000     520.40000     520.40002        3.125344E+10
     22.50000     530.39998     530.39996        3.102342E+10
     22.50000     540.40000     540.40002        3.079469E+10
     22.50000     550.39998     550.39996        3.058194E+10
     22.50000     560.40000     560.40002        3.037040E+10
     22.50000     570.39998     570.39996        3.017304E+10
     22.50000     580.40000     580.40002        2.997676E+10
     22.50000     590.39999     590.39996        2.979321E+10
     22.50000     600.40001     600.40002        2.961059E+10
     22.50000     610.39999     610.39996        2.943942E+10
     22.50000     620.40001     620.40002        2.926906E+10
     22.50000     630.40003     630.40002        2.910914E+10
     22.50000     640.40005     640.40002        2.894996E+10
     22.50000     650.40000     650.40002        2.880019E+10
     22.50000     660.40002     660.40002        2.865114E+10
     22.50000     670.39996     670.39996        2.851074E+10
     22.50000     680.39998     680.39996        2.837091E+10
     22.50000     690.40000     690.40002        2.823908E+10
     22.50000     700.40002     700.40002        2.810780E+10
     22.50000     710.39997     710.39996        2.798388E+10
     22.50000     720.39999     720.39996        2.786052E+10
     22.50000     730.40001     730.40002        2.774403E+10
     22.50000     740.40003     740.40002        2.762791E+10
     22.50000     750.39998     750.39996        2.751838E+10
     22.50000     760.40000     760.40002        2.740922E+10
     22.50000     770.40002     770.40002        2.730619E+10
     22.50000     780.40004     780.40002        2.720349E+10
     22.50000     790.39998     790.39996        2.710665E+10
     22.50000     800.40000     800.40002        2.701016E+10
     22.50000     810.40002     810.40002        2.691927E+10
     22.50000     820.40004     820.40002        2.682862E+10
     22.50000     830.39999     830.39996        2.674339E+10
     22.50000     840.40001     840.40002        2.665844E+10
     22.50000     850.40003     850.40002        2.657871E+10
     22.50000     860.40005     860.40002        2.649922E+10
     22.50000     870.40000     870.40002        2.642484E+10
     22.50000     880.40002     880.40002        2.635067E+10
     22.50000     890.40004     890.40002        2.628150E+10
     22.50000     900.40006     900.40009        2.621251E+10
     22.50000     910.40000     910.40002        2.614846E+10
     22.50000     920.40002     920.40002        2.608457E+10
     22.50000     930.39997     930.39996        2.602553E+10
     22.50000     940.39999     940.39996        2.596662E+10
     22.50000     950.40001     950.40002        2.591250E+10
     22.50000     960.40003     960.40002        2.585856E+10
     22.50000     970.39998     970.39996        2.541948E+10
     22.50000     980.40000     980.40002        2.498791E+10
     22.50000     990.40002     990.40002        1.580732E+14
     22.50000    1000.40004    1000.40002        9.999956E+17
     22.50000    1000.41002    1000.41003        1.000000E+18
     22.50000    1000.42164    1000.42163        1.000000E+18
     22.50000    1000.43163    1000.43164        1.000000E+18
