

 One-dimensional plot values
 Input line #     177
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        1.173086E+06
     35.00000      40.40000      40.40000        1.889356E+07
     35.00000      60.40000      60.40001        2.352050E+08
     35.00000      80.40000      80.39999        6.259605E+09
     35.00000     100.40000     100.40000        2.555829E+10
     35.00000     120.40000     120.40000        2.564729E+10
     35.00000     140.40001     140.40001        2.475111E+10
     35.00000     160.40001     160.40001        2.424838E+10
     35.00000     180.40000     180.39999        2.391244E+10
     35.00000     200.40000     200.39999        2.365356E+10
     35.00000     220.40000     220.40001        2.343096E+10
     35.00000     240.40001     240.40001        2.322335E+10
     35.00000     260.40001     260.39999        2.301854E+10
     35.00000     280.40001     280.40002        2.280902E+10
     35.00000     300.40001     300.40002        2.258990E+10
     35.00000     320.40000     320.39999        2.235751E+10
     35.00000     340.40000     340.39999        2.210935E+10
     35.00000     360.40001     360.39999        2.184330E+10
     35.00000     380.40001     380.40002        2.155763E+10
     35.00000     400.40001     400.40002        2.125090E+10
     35.00000     420.40002     420.40002        2.092182E+10
     35.00000     440.40002     440.40002        2.056923E+10
     35.00000     460.40002     460.40002        2.019206E+10
     35.00000     480.40003     480.40002        1.978939E+10
     35.00000     500.40003     500.40002        1.936038E+10
     35.00000     520.40000     520.40002        1.890422E+10
     35.00000     540.40000     540.40002        1.842031E+10
     35.00000     560.40000     560.40002        1.790800E+10
     35.00000     580.40000     580.40002        1.736686E+10
     35.00000     600.40001     600.40002        1.679661E+10
     35.00000     620.40001     620.40002        1.619700E+10
     35.00000     640.40005     640.40002        1.556798E+10
     35.00000     660.40002     660.40002        1.490962E+10
     35.00000     680.39998     680.39996        1.422219E+10
     35.00000     700.40002     700.40002        1.350608E+10
     35.00000     720.39999     720.39996        1.276181E+10
     35.00000     740.40003     740.40002        1.199011E+10
     35.00000     760.40000     760.40002        1.119182E+10
     35.00000     780.40004     780.40002        1.036792E+10
     35.00000     800.40000     800.40002        9.519598E+09
     35.00000     820.40004     820.40002        8.648070E+09
     35.00000     840.40001     840.40002        7.754742E+09
     35.00000     860.40005     860.40002        6.841070E+09
     35.00000     880.40002     880.40002        5.908610E+09
     35.00000     900.40006     900.40009        4.958950E+09
     35.00000     920.40002     920.40002        3.993771E+09
     35.00000     940.39999     940.39996        3.014721E+09
     35.00000     960.40003     960.40002        2.023485E+09
     35.00000     980.40000     980.40002        1.021715E+09
     35.00000    1000.40004    1000.40002        5.185072E+03
     35.00000    1000.40004    1000.40002        6.241556E-08
     35.00000    1000.41002    1000.41003        1.825559E-03
     35.00000    1000.42336    1000.42334        2.155785E-03
     35.00000    1000.43334    1000.43335        1.150924E-03
