

 One-dimensional plot values
 Input line #     177
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        1.172644E+06
     35.00000      40.40000      40.40000        1.889194E+07
     35.00000      60.40000      60.40001        2.351988E+08
     35.00000      80.40000      80.39999        6.259894E+09
     35.00000     100.40000     100.40000        2.555857E+10
     35.00000     120.40000     120.40000        2.564740E+10
     35.00000     140.40001     140.40001        2.475122E+10
     35.00000     160.40001     160.40001        2.424848E+10
     35.00000     180.40000     180.39999        2.391255E+10
     35.00000     200.40000     200.39999        2.365377E+10
     35.00000     220.40000     220.40001        2.343117E+10
     35.00000     240.40001     240.40001        2.322360E+10
     35.00000     260.40001     260.39999        2.301884E+10
     35.00000     280.40001     280.40002        2.280937E+10
     35.00000     300.40001     300.40002        2.259024E+10
     35.00000     320.40000     320.39999        2.235795E+10
     35.00000     340.40000     340.39999        2.210983E+10
     35.00000     360.40001     360.39999        2.184388E+10
     35.00000     380.40001     380.40002        2.155824E+10
     35.00000     400.40001     400.40002        2.125160E+10
     35.00000     420.40002     420.40002        2.092261E+10
     35.00000     440.40002     440.40002        2.057009E+10
     35.00000     460.40002     460.40002        2.019303E+10
     35.00000     480.40003     480.40002        1.979048E+10
     35.00000     500.40003     500.40002        1.936157E+10
     35.00000     520.40000     520.40002        1.890555E+10
     35.00000     540.40000     540.40002        1.842169E+10
     35.00000     560.40000     560.40002        1.790953E+10
     35.00000     580.40000     580.40002        1.736850E+10
     35.00000     600.40001     600.40002        1.679838E+10
     35.00000     620.40001     620.40002        1.619892E+10
     35.00000     640.40005     640.40002        1.557003E+10
     35.00000     660.40002     660.40002        1.491182E+10
     35.00000     680.39998     680.39996        1.422453E+10
     35.00000     700.40002     700.40002        1.350857E+10
     35.00000     720.39999     720.39996        1.276444E+10
     35.00000     740.40003     740.40002        1.199287E+10
     35.00000     760.40000     760.40002        1.119474E+10
     35.00000     780.40004     780.40002        1.037100E+10
     35.00000     800.40000     800.40002        9.522797E+09
     35.00000     820.40004     820.40002        8.651432E+09
     35.00000     840.40001     840.40002        7.758234E+09
     35.00000     860.40005     860.40002        6.844706E+09
     35.00000     880.40002     880.40002        5.912361E+09
     35.00000     900.40006     900.40009        4.962839E+09
     35.00000     920.40002     920.40002        3.997711E+09
     35.00000     940.39999     940.39996        3.018351E+09
     35.00000     960.40003     960.40002        2.026406E+09
     35.00000     980.40000     980.40002        1.023552E+09
     35.00000    1000.40004    1000.40002        3.942570E+05
     35.00000    1000.40004    1000.40002        4.745890E-06
     35.00000    1000.41002    1000.41003        2.314794E-01
     35.00000    1000.42336    1000.42334        2.733517E-01
     35.00000    1000.43334    1000.43335        1.459336E-01
