

 One-dimensional plot values
 Input line #     175
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        5.583178E+04
     22.50000      20.40000      20.40000        1.161381E+06
     22.50000      30.39998      30.39998        5.293774E+06
     22.50000      40.40000      40.40000        2.408993E+07
     22.50000      50.39999      50.39999        1.044298E+08
     22.50000      60.40000      60.40001        4.775009E+08
     22.50000      70.39999      70.39999        2.559625E+09
     22.50000      80.40000      80.39999        1.306146E+10
     22.50000      90.39998      90.39998        1.948466E+10
     22.50000     100.40000     100.40000        2.818221E+10
     22.50000     110.39998     110.39999        2.726324E+10
     22.50000     120.40000     120.40000        2.628969E+10
     22.50000     130.39999     130.39999        2.565619E+10
     22.50000     140.40001     140.40001        2.502129E+10
     22.50000     150.39999     150.39999        2.469791E+10
     22.50000     160.40001     160.40001        2.437212E+10
     22.50000     170.39999     170.39999        2.417230E+10
     22.50000     180.40000     180.39999        2.397112E+10
     22.50000     190.39998     190.39998        2.382638E+10
     22.50000     200.40000     200.39999        2.368106E+10
     22.50000     210.39998     210.39998        2.356196E+10
     22.50000     220.40000     220.40001        2.344275E+10
     22.50000     230.39998     230.39998        2.333479E+10
     22.50000     240.40001     240.40001        2.322702E+10
     22.50000     250.39999     250.39999        2.312239E+10
     22.50000     260.40001     260.39999        2.301798E+10
     22.50000     270.39999     270.39999        2.291208E+10
     22.50000     280.40001     280.40002        2.280647E+10
     22.50000     290.39999     290.39999        2.269620E+10
     22.50000     300.40001     300.40002        2.258638E+10
     22.50000     310.40000     310.39999        2.246983E+10
     22.50000     320.40000     320.39999        2.235378E+10
     22.50000     330.39998     330.39999        2.222944E+10
     22.50000     340.40000     340.39999        2.210570E+10
     22.50000     350.39999     350.39999        2.197247E+10
     22.50000     360.40001     360.39999        2.183994E+10
     22.50000     370.39999     370.39999        2.169687E+10
     22.50000     380.40001     380.40002        2.155465E+10
     22.50000     390.39999     390.39999        2.140094E+10
     22.50000     400.40001     400.40002        2.124833E+10
     22.50000     410.40000     410.39999        2.108338E+10
     22.50000     420.40002     420.40002        2.091967E+10
     22.50000     430.40000     430.39999        2.074282E+10
     22.50000     440.40002     440.40002        2.056747E+10
     22.50000     450.40000     450.39999        2.037825E+10
     22.50000     460.40002     460.40002        2.019073E+10
     22.50000     470.40001     470.39999        1.998859E+10
     22.50000     480.40003     480.40002        1.978844E+10
     22.50000     490.40001     490.39999        1.957292E+10
     22.50000     500.40003     500.40002        1.935974E+10
     22.50000     510.40001     510.40002        1.913052E+10
     22.50000     520.40000     520.40002        1.890393E+10
     22.50000     530.39998     530.39996        1.866056E+10
     22.50000     540.40000     540.40002        1.842027E+10
     22.50000     550.39998     550.39996        1.816249E+10
     22.50000     560.40000     560.40002        1.790827E+10
     22.50000     570.39998     570.39996        1.763580E+10
     22.50000     580.40000     580.40002        1.736743E+10
     22.50000     590.39999     590.39996        1.708007E+10
     22.50000     600.40001     600.40002        1.679742E+10
     22.50000     610.39999     610.39996        1.649502E+10
     22.50000     620.40001     620.40002        1.619806E+10
     22.50000     630.40003     630.40002        1.588056E+10
     22.50000     640.40005     640.40002        1.556927E+10
     22.50000     650.40000     650.40002        1.523667E+10
     22.50000     660.40002     660.40002        1.491116E+10
     22.50000     670.39996     670.39996        1.456351E+10
     22.50000     680.39998     680.39996        1.422397E+10
     22.50000     690.40000     690.40002        1.386141E+10
     22.50000     700.40002     700.40002        1.350807E+10
     22.50000     710.39997     710.39996        1.313076E+10
     22.50000     720.39999     720.39996        1.276399E+10
     22.50000     730.40001     730.40002        1.237224E+10
     22.50000     740.40003     740.40002        1.199248E+10
     22.50000     750.39998     750.39996        1.158658E+10
     22.50000     760.40000     760.40002        1.119440E+10
     22.50000     770.40002     770.40002        1.077469E+10
     22.50000     780.40004     780.40002        1.037070E+10
     22.50000     790.39998     790.39996        9.937590E+09
     22.50000     800.40000     800.40002        9.522546E+09
     22.50000     810.40002     810.40002        9.076435E+09
     22.50000     820.40004     820.40002        8.651204E+09
     22.50000     830.39999     830.39996        8.192472E+09
     22.50000     840.40001     840.40002        7.758047E+09
     22.50000     850.40003     850.40002        7.287001E+09
     22.50000     860.40005     860.40002        6.844541E+09
     22.50000     870.40000     870.40002        6.361343E+09
     22.50000     880.40002     880.40002        5.912231E+09
     22.50000     890.40004     890.40002        5.416728E+09
     22.50000     900.40006     900.40009        4.962730E+09
     22.50000     910.40000     910.40002        4.454118E+09
     22.50000     920.40002     920.40002        3.997623E+09
     22.50000     930.39997     930.39996        3.473617E+09
     22.50000     940.39999     940.39996        3.018291E+09
     22.50000     950.40001     950.40002        2.473090E+09
     22.50000     960.40003     960.40002        2.026366E+09
     22.50000     970.39998     970.39996        1.440158E+09
     22.50000     980.40000     980.40002        1.023532E+09
     22.50000     990.40002     990.40002        2.008985E+07
     22.50000    1000.40004    1000.40002        3.943267E+05
     22.50000    1000.40004    1000.40002        4.746724E-06
     22.50000    1000.41002    1000.41003        2.310627E-01
     22.50000    1000.42164    1000.42163        2.799213E-01
     22.50000    1000.43163    1000.43164        1.711657E-01
